fundname,fundid,fundtype,fundcompany,fundsize,todayestnav,yestnav,accumnav,todayrate,weekrate,monthrate,threemonthrate,sixmonthrate,fromthisyearrate,yearrate,twoyearrate,threeyearrate,industry1,industry1ratio,industry2,industry2ratio,category,date
浦银安盛新经济结构混合,519126,混合型,浦银安盛基金,0.71亿,1.3371,1.3480,1.3480,-0.81,3.22,4.50,-1.25,-6.13,-2.53,-6.32,18.87,-4.67,制造业,67.83%,金融业,6.74%,净值型,2018-03-16
浦银安盛月月盈定期支付债券C,519129,定开债券,浦银安盛基金,0.12亿,1.0921,1.0920,1.0920,0.01,0.28,0.65,0.65,0.28,0.09,1.58,2.25,7.80,金融业,0.14%,,,净值型,2018-03-16
海富通改革驱动混合,519133,混合型,海富通基金,12.79亿,1.0714,1.0780,1.2690,-0.62,0.94,5.58,0.56,0.19,-1.91,10.19,0,0,制造业,68.64%,交通运输、仓储和邮政业,5.29%,净值型,2018-03-16
海富通新内需混合A,519130,混合型,海富通基金,0.79亿,1.5440,1.5460,1.5460,-0.13,0.19,1.05,1.38,5.31,0.78,6.40,11.71,39.66,制造业,14.08%,金融业,1.22%,净值型,2018-03-16
浦银安盛消费升级混合A,519125,混合型,浦银安盛基金,1.01亿,1.6734,1.6820,1.6820,-0.51,1.63,5.06,2.37,-3.50,3.19,5.52,31.30,15.36,制造业,78.19%,金融业,6.27%,净值型,2018-03-16
浦银季季添利定开债券C,519124,定开债券,浦银安盛基金,0.06亿,1.2922,1.2920,1.2920,0.02,0.16,0.62,1.17,1.02,0.94,3.36,5.47,8.48,金融业,0.39%,,,净值型,2018-03-16
浦银安盛月月盈定期支付债券A,519128,定开债券,浦银安盛基金,0.47亿,1.1051,1.1050,1.1050,0.01,0.27,0.64,0.73,0.45,0.18,1.94,2.98,8.97,金融业,0.14%,,,净值型,2018-03-16
浦银季季添利定开债券A,519123,定开债券,浦银安盛基金,7.63亿,1.3132,1.3130,1.3130,0.02,0.15,0.69,1.23,1.16,1.00,3.71,6.23,9.60,金融业,0.39%,,,净值型,2018-03-16
浦银安盛盛世精选混合A,519127,混合型,浦银安盛基金,3.56亿,1.4696,1.4730,1.4730,-0.23,0.07,0.61,0.96,2.58,0.61,5.21,14.54,35.14,制造业,12.98%,金融业,6.35%,净值型,2018-03-16
浦银战略新兴产业混合,519120,混合型,浦银安盛基金,5.92亿,2.2072,2.2170,2.2170,-0.44,1.09,3.94,-4.89,-11.81,-3.78,-6.26,6.54,33.63,制造业,78.57%,金融业,6.84%,净值型,2018-03-16
浦银6个月定期开放债券C,519122,定开债券,浦银安盛基金,0.09亿,1.0441,1.0440,1.1980,0.01,0.19,0.58,1.21,1.12,0.93,3.65,5.41,13.92,金融业,0.81%,,,净值型,2018-03-16
浦银幸福B,519119,定开债券,浦银安盛基金,0.37亿,1.0101,1.0100,1.3060,0.01,0.10,0.40,1.14,1.34,0.84,2.05,3.66,14.30,,,,,净值型,2018-03-16
浦银6个月定期开放债券A,519121,定开债券,浦银安盛基金,0.42亿,1.0452,1.0450,1.2120,0.02,0.29,0.67,1.28,1.19,1.00,3.91,6.07,14.79,金融业,0.81%,,,净值型,2018-03-16
浦银沪深300增强,519116,股票指数,浦银安盛基金,1.45亿,1.5093,1.5210,1.5210,-0.77,0.40,3.40,3.61,7.34,2.01,22.17,47.67,33.07,制造业,33.51%,金融业,29.08%,净值型,2018-03-16
浦银收益C,519112,债券型,浦银安盛基金,0.23亿,1.5404,1.5400,1.5500,0.02,0.00,0.39,1.18,-0.58,0.65,1.32,2.46,8.15,制造业,2.82%,,,净值型,2018-03-16
长盛中证100,519100,股票指数,长盛基金,4.10亿,1.2726,1.2830,1.9740,-0.81,0.16,1.78,3.81,10.38,2.43,28.10,49.03,30.94,金融业,42.48%,制造业,31.48%,净值型,2018-03-16
浦银幸福A,519118,定开债券,浦银安盛基金,2.17亿,1.0101,1.0100,1.3260,0.01,0.00,0.40,1.13,1.43,0.83,2.34,4.35,15.32,,,,,净值型,2018-03-16
浦银安盛优化收益债券A,519111,债券型,浦银安盛基金,0.28亿,1.5933,1.5930,1.6030,0.02,0.00,0.38,1.21,-0.44,0.70,1.66,3.24,9.41,制造业,2.82%,,,净值型,2018-03-16
新华泛资源优势混合,519091,混合型,新华基金,5.12亿,2.7704,2.7800,2.7800,-0.35,-1.77,3.35,4.08,3.58,2.43,12.92,72.67,77.52,制造业,41.91%,房地产业,26.53%,净值型,2018-03-16
汇添富成长焦点混合,519068,混合型,汇添富基金,73.77亿,2.1141,2.1328,3.3218,-0.87,0.88,3.49,5.99,19.64,4.68,40.54,69.43,98.78,制造业,60.98%,金融业,18.29%,净值型,2018-03-16
浦银安盛基本面400指数,519117,股票指数,浦银安盛基金,0.52亿,1.6058,1.6140,1.6140,-0.51,0.62,5.49,0.56,-5.56,-0.31,-1.16,15.29,1.57,制造业,53.53%,批发和零售业,7.25%,净值型,2018-03-16
浦银安盛红利精选混合,519115,混合型,浦银安盛基金,0.87亿,1.5861,1.5970,1.5970,-0.68,0.95,2.04,-3.56,-2.14,-4.14,1.40,24.86,11.37,制造业,68.83%,金融业,5.65%,净值型,2018-03-16
浦银精致生活,519113,混合型,浦银安盛基金,4.45亿,1.8926,1.9070,1.9670,-0.76,1.11,4.15,-4.22,-11.34,-3.05,-4.79,8.91,35.63,制造业,78.96%,金融业,7.25%,净值型,2018-03-16
新华行业周期轮换混合,519095,混合型,新华基金,1.16亿,1.7720,1.7880,2.6880,-0.90,-0.56,7.58,-6.39,-6.09,-4.69,-8.07,10.17,4.42,制造业,59.23%,电力、热力、燃气及水生产和供应业,12.35%,净值型,2018-03-16
新华优选成长混合,519089,混合型,新华基金,3.27亿,1.3104,1.3204,2.3804,-0.76,0.49,4.10,-0.68,-5.69,1.03,-9.31,3.96,0.14,制造业,54.15%,信息传输、软件和信息技术服务业,11.30%,净值型,2018-03-16
海富通纯债债券A,519061,债券型,海富通基金,10.56亿,1.7073,1.7070,2.2470,0.02,0.06,0.35,1.19,1.61,1.07,3.14,6.09,26.23,制造业,8.52%,,,净值型,2018-03-16
海富通阿尔法对冲混合,519062,混合型,海富通基金,4.45亿,1.3532,1.3530,1.3530,0.01,0.59,0.37,2.42,6.79,1.20,9.64,13.22,29.35,制造业,31.46%,金融业,20.73%,净值型,2018-03-16
海富通双福分级债券B,519058,分级杠杆,海富通基金,0.88亿,0.7993,0.7990,1.2300,0.03,0.00,0.38,0.50,-0.37,0.50,-4.43,-20.48,-12.17,采矿业,4.98%,制造业,4.64%,净值型,2018-03-16
长盛电子信息主题灵活配置混合,000063,混合型,长盛基金,13.66亿,1.8490,1.8730,1.8730,-1.28,2.41,11.62,-1.73,3.94,0.54,2.29,1.57,69.50,制造业,75.87%,信息传输、软件和信息技术服务业,9.75%,净值型,2018-03-16
长盛量化红利混合,080005,混合型,长盛基金,2.02亿,1.3044,1.3110,2.2170,-0.50,-0.08,2.99,9.34,11.38,6.85,15.10,35.53,44.28,制造业,28.01%,房地产业,20.41%,净值型,2018-03-16
富国天博创新主题混合,519035,混合型,富国基金,22.10亿,1.6839,1.6969,5.2315,-0.77,0.97,5.42,4.14,15.33,2.35,29.68,47.36,34.75,制造业,63.62%,租赁和商务服务业,7.97%,净值型,2018-03-16
长盛同德主题混合,519039,混合型,长盛基金,15.11亿,1.5090,1.5134,4.3367,-0.29,-0.17,1.42,-0.20,2.99,-0.96,4.29,13.34,23.12,制造业,39.56%,金融业,13.87%,净值型,2018-03-16
海富通中证内地低碳指数,519034,股票指数,海富通基金,0.24亿,1.6358,1.6530,1.6530,-1.04,1.85,8.11,0.12,-0.78,0.12,10.94,26.96,3.31,制造业,57.95%,电力、热力、燃气及水生产和供应业,22.19%,净值型,2018-03-16
海富通一年定开债券A,519051,定开债券,海富通基金,2.37亿,1.7670,1.7670,1.7670,0.00,0.11,0.34,0.80,1.49,0.51,0.68,-1.67,15.94,制造业,7.61%,,,净值型,2018-03-16
海富通国策导向混合,519033,混合型,海富通基金,3.04亿,1.4843,1.5050,2.0720,-1.38,5.76,11.65,4.15,0.53,3.22,25.63,32.16,-2.72,制造业,77.92%,金融业,4.66%,净值型,2018-03-16
海富通上证非周期联接,519032,联接基金,海富通基金,0.21亿,1.2200,1.2300,1.2300,-0.81,0.82,5.04,1.99,5.40,1.07,11.01,25.25,1.74,制造业,0.37%,,,净值型,2018-03-16
海富通纯债债券C,519060,债券型,海富通基金,0.25亿,1.6833,1.6830,2.2150,0.02,0.06,0.36,1.08,1.39,1.02,2.62,5.19,24.82,制造业,8.52%,,,净值型,2018-03-16
海富通稳固债券,519030,债券型,海富通基金,1.60亿,1.1019,1.1020,1.4920,-0.01,-0.18,0.64,0.73,-1.43,0.82,-2.82,-0.79,3.33,制造业,4.03%,金融业,0.99%,净值型,2018-03-16
华夏平稳增长,519029,混合型,华夏基金,14.90亿,1.6775,1.6840,2.4890,-0.39,1.14,8.65,-3.66,-6.34,-1.98,-5.87,5.78,-16.26,制造业,50.31%,信息传输、软件和信息技术服务业,7.66%,净值型,2018-03-16
海富通上证周期联接,519027,联接基金,海富通基金,0.26亿,1.2906,1.2980,1.2980,-0.57,-0.46,-0.38,1.64,4.01,0.00,17.68,27.50,8.26,制造业,0.06%,,,净值型,2018-03-16
海富通中小盘混合,519026,混合型,海富通基金,1.84亿,1.0421,1.0570,1.0570,-1.41,5.59,11.50,4.14,0.96,2.92,19.44,23.19,-9.04,制造业,76.11%,金融业,4.68%,净值型,2018-03-16
新华中小市值优选混合,519097,混合型,新华基金,1.17亿,1.5133,1.5190,2.2810,-0.38,1.00,9.20,-2.82,-0.65,-2.75,-6.52,10.55,32.29,制造业,33.95%,交通运输、仓储和邮政业,10.59%,净值型,2018-03-16
长盛创新先锋,080002,混合型,长盛基金,1.38亿,1.0530,1.0605,2.3068,-0.71,0.34,3.45,0.24,9.84,-0.61,12.94,13.59,16.13,制造业,58.62%,金融业,5.29%,净值型,2018-03-16
海富通领先成长混合,519025,混合型,海富通基金,1.27亿,1.3404,1.3510,1.5010,-0.78,1.35,2.82,-1.46,-2.38,-2.67,9.84,27.45,-0.07,制造业,67.13%,金融业,24.77%,净值型,2018-03-16
海富通养老收益混合A,519050,混合型,海富通基金,5.77亿,1.2377,1.2390,1.5130,-0.10,0.16,1.06,1.66,6.35,1.06,8.56,13.68,18.98,制造业,11.93%,金融业,2.61%,净值型,2018-03-16
大成积极成长混合,519017,混合型,大成基金,11.05亿,1.0806,1.0960,2.9030,-1.41,-0.36,4.08,1.92,4.25,0.58,13.69,37.22,56.06,制造业,62.48%,租赁和商务服务业,8.45%,净值型,2018-03-16
国泰金泰灵活配置混合A,519020,混合型,国泰基金,1.04亿,1.0802,1.0859,1.0616,-0.52,3.04,9.15,4.40,0.68,2.93,-3.87,1.88,9.38,制造业,67.71%,采矿业,6.99%,净值型,2018-03-16
海富通风格优势混合,519013,混合型,海富通基金,4.59亿,0.6429,0.6480,1.7540,-0.78,-0.61,0.00,-9.12,-18.70,-7.43,-11.72,-5.68,-30.10,制造业,40.97%,金融业,23.62%,净值型,2018-03-16
汇添富均衡增长混合,519018,混合型,汇添富基金,51.03亿,0.6849,0.6919,3.3869,-1.01,1.94,5.54,4.72,9.93,4.06,20.31,26.40,20.61,制造业,61.86%,金融业,11.22%,净值型,2018-03-16
国泰金泰灵活配置混合C,519022,混合型,国泰基金,0.00亿,1.0844,1.0905,1.1755,-0.56,3.13,9.30,4.82,1.10,3.35,-3.46,-3.22,0,制造业,67.71%,采矿业,6.99%,净值型,2018-03-16
海富通精选二号,519015,混合型,海富通基金,5.19亿,0.9695,0.9770,1.2970,-0.77,0.41,3.94,2.84,3.17,2.95,11.15,28.55,30.97,制造业,48.24%,金融业,13.89%,净值型,2018-03-16
国泰金鼎价值混合,519021,混合型,国泰基金,11.47亿,0.5526,0.5570,2.5280,-0.78,0.91,4.31,0.36,1.83,-0.36,6.50,20.04,21.39,制造业,54.95%,金融业,16.87%,净值型,2018-03-16
海富通稳健添利债A,519024,债券型,海富通基金,2.36亿,1.2032,1.2030,1.4120,0.02,0.00,0.17,0.84,2.01,0.67,3.85,4.92,13.87,制造业 - 食品、饮料,3.00,制造业 - 其他制造业,0.00,净值型,2018-03-16
汇添富优势精选,519008,混合型,汇添富基金,21.62亿,3.1617,3.1847,7.1143,-0.72,1.59,7.73,9.37,22.89,7.48,39.51,49.02,55.18,制造业,57.30%,卫生和社会工作,9.71%,净值型,2018-03-16
海富通稳健添利债券C,519023,债券型,海富通基金,0.10亿,1.1752,1.1750,1.3810,0.02,0.00,0.17,0.85,1.89,0.69,3.52,4.27,12.84,制造业 - 食品、饮料,3.00,传播与文化产业,0.00,净值型,2018-03-16
大成景阳领先混合,519019,混合型,大成基金,20.94亿,0.8683,0.8750,4.3340,-0.77,-0.57,5.04,2.49,10.33,-1.21,24.77,57.03,54.90,制造业,55.24%,房地产业,13.42%,净值型,2018-03-16
海富通收益增长,519003,混合型,海富通基金,16.00亿,1.0707,1.0780,2.6930,-0.68,0.75,4.97,0.47,-1.37,-1.19,6.21,32.11,42.59,制造业,53.14%,建筑业,7.80%,净值型,2018-03-16
华安安信消费混合,519002,混合型,华安基金,6.12亿,1.4151,1.4250,1.7270,-0.69,-0.28,2.81,0.35,-4.23,-1.72,6.32,36.20,34.61,制造业,53.73%,采矿业,8.80%,净值型,2018-03-16
国泰估值优势混合(LOF),160212,混合型,国泰基金,41.45亿,2.7217,2.7610,2.7610,-1.42,1.14,5.95,-2.51,-0.75,-2.33,14.75,58.59,125.57,制造业,68.97%,建筑业,11.50%,净值型,2018-03-16
国泰国证医药卫生指数分级,160219,股票指数,国泰基金,33.11亿,0.8590,0.8614,1.5435,-0.28,0.24,8.50,4.61,12.26,3.43,14.88,27.04,22.86,制造业,78.71%,批发和零售业,9.03%,净值型,2018-03-16
海富通强化回报,519007,混合型,海富通基金,4.21亿,0.7421,0.7480,2.2440,-0.79,-0.40,0.81,-3.23,-8.67,-3.36,-6.73,0.54,-18.43,制造业,38.57%,房地产业,4.00%,净值型,2018-03-16
海富通精选,519011,混合型,海富通基金,15.58亿,0.4687,0.4721,4.3511,-0.72,0.60,4.42,2.83,3.01,3.28,10.65,27.38,31.04,制造业,50.37%,金融业,11.07%,净值型,2018-03-16
国泰价值经典混合(LOF),160215,混合型,国泰基金,30.40亿,1.6403,1.6550,2.1830,-0.89,3.31,8.95,4.95,1.29,5.35,22.86,67.65,77.36,制造业,78.72%,批发和零售业,12.78%,净值型,2018-03-16
国泰黄金ETF,518800,ETF-场内,国泰基金,2.40亿,2.6730,2.6837,1.0152,-0.40,-0.46,-0.85,0.40,-3.53,-0.84,-0.53,4.91,15.13,,,,,净值型,2018-03-16
南方恒生ETF,513600,QDII-ETF,南方基金,0.75亿,2.6427,2.6531,1.3760,-0.39,2.65,2.71,4.43,9.19,1.69,21.55,52.78,40.31,,,,,净值型,2018-03-16
华安德国30(DAX)ETF,513030,QDII-ETF,华安基金,1.73亿,--,1.0900,1.0900,0,-0.37,-0.91,-6.36,-2.50,-4.97,6.45,25.72,8.46,,,,,净值型,2018-03-16
华安黄金易ETF,518880,ETF-场内,华安基金,50.67亿,2.6929,2.7037,1.0210,-0.40,-0.46,-0.85,0.44,-3.44,-0.81,-0.40,4.88,14.61,,,,,净值型,2018-03-16
南方中证全指证券ETF,512900,ETF-场内,南方基金,3.27亿,0.8663,0.8759,0.8759,-1.10,0.36,3.39,-6.60,-17.73,-3.86,-12.41,0,0,金融业,99.71%,制造业,0.20%,净值型,2018-03-16
华夏沪港通恒生ETF,513660,QDII-ETF,华夏基金,15.29亿,2.6237,2.6336,1.3673,-0.38,2.63,7.04,4.14,8.94,1.79,21.66,53.58,37.77,,,,,净值型,2018-03-16
华宝中证银行ETF,512800,ETF-场内,华宝基金,1.68亿,1.0343,1.0435,1.0435,-0.88,-1.24,-1.86,4.45,5.46,2.68,0,0,0,金融业,98.41%,制造业,0.05%,净值型,2018-03-16
国泰中证全指证券公司ETF,512880,ETF-场内,国泰基金,6.96亿,0.9054,0.9155,0.9155,-1.10,0.36,3.28,-6.77,-18.01,-3.99,-12.17,0,0,金融业,99.52%,制造业,0.24%,净值型,2018-03-16
华宝中证军工ETF,512810,ETF-场内,华宝基金,0.93亿,0.7665,0.7712,0.7712,-0.61,0.38,10.08,-8.57,-12.58,-5.14,-22.14,0,0,制造业,93.49%,信息传输、软件和信息技术服务业,4.30%,净值型,2018-03-16
广发中证军工ETF,512680,ETF-场内,广发基金,2.88亿,0.7789,0.7843,0.7843,-0.69,0.41,10.51,-8.08,-11.92,-4.68,-22.68,0,0,制造业,93.89%,信息传输、软件和信息技术服务业,4.27%,净值型,2018-03-16
南方中证银行ETF,512700,ETF-场内,南方基金,0.71亿,1.0571,1.0672,1.0672,-0.94,-1.21,-1.81,4.97,7.33,3.16,0,0,0,金融业,99.33%,制造业,0.09%,净值型,2018-03-16
易方达中证全指证券ETF,512570,ETF-场内,易方达基金,0.40亿,0.8567,0.8674,0.8674,-1.23,0.31,3.15,-6.85,-17.95,-4.22,0,0,0,金融业,97.60%,,,净值型,2018-03-16
国泰中证军工ETF,512660,ETF-场内,国泰基金,3.61亿,0.7969,0.8018,0.8018,-0.61,0.40,10.88,-8.28,-12.42,-4.83,-22.97,0,0,制造业,93.93%,信息传输、软件和信息技术服务业,4.63%,净值型,2018-03-16
广发中证传媒ETF,512980,ETF-场内,广发基金,2.76亿,1.0219,1.0277,1.0277,-0.56,2.51,9.99,0,0,0,0,0,0,,,,,净值型,2018-03-16
MSCI中国A股ETF,512990,ETF-场内,华夏基金,4.08亿,1.1748,1.1819,1.1819,-0.60,0.43,4.14,1.77,2.75,0.65,13.64,35.91,14.63,制造业,45.52%,金融业,23.90%,净值型,2018-03-16
博时标普500ETF,513500,QDII-ETF,博时基金,4.57亿,1.6230,1.6146,1.6146,0.52,0.72,1.59,-0.59,6.61,-0.39,6.87,33.73,40.74,,,,,净值型,2018-03-16
嘉实中证金融地产ETF,512640,ETF-场内,嘉实基金,0.41亿,1.9202,1.9303,1.9303,-0.52,-1.01,0.35,0.91,1.29,0.27,14.85,27.00,11.88,金融业,83.04%,房地产业,16.27%,净值型,2018-03-16
广发中证环保ETF,512580,ETF-场内,广发基金,2.08亿,0.9479,0.9507,0.9507,-0.29,0.97,8.43,-4.96,-9.76,-4.68,-6.70,0,0,制造业,61.53%,电力、热力、燃气及水生产和供应业,13.81%,净值型,2018-03-16
易方达中证军工ETF,512560,ETF-场内,易方达基金,0.39亿,0.8865,0.8920,0.8920,-0.61,0.36,10.41,-8.57,-14.12,-5.30,0,0,0,制造业,92.44%,信息传输、软件和信息技术服务业,4.27%,净值型,2018-03-16
华夏中证500ETF,512500,ETF-场内,华夏基金,8.67亿,3.0057,3.0203,0.6611,-0.48,0.77,7.31,-0.94,-6.41,-1.20,-3.48,11.20,0,制造业,57.95%,信息传输、软件和信息技术服务业,8.00%,净值型,2018-03-16
南方中证500原材料ETF,512340,ETF-场内,南方基金,0.59亿,0.9651,0.9753,0.9753,-1.05,1.26,5.96,7.33,-3.67,3.00,11.17,40.61,0,制造业,88.05%,采矿业,10.09%,净值型,2018-03-16
华泰柏瑞中证500ETF,512510,ETF-场内,华泰柏瑞基金,2.68亿,1.2783,1.2845,0.6505,-0.48,0.77,7.35,-0.52,-5.65,-0.93,-1.84,15.89,0,制造业,58.89%,信息传输、软件和信息技术服务业,8.02%,净值型,2018-03-16
南方中证房地产ETF,512200,ETF-场内,南方基金,0.70亿,0.9862,0.9827,0.9827,0.35,-2.35,1.31,3.96,-2.55,1.32,0,0,0,房地产业,88.25%,建筑业,2.43%,净值型,2018-03-16
景顺中证TMT150ETF,512220,ETF-场内,景顺长城基金,4.02亿,1.4505,1.4679,1.4679,-1.19,2.32,11.46,0.53,1.25,2.50,5.95,12.25,-1.57,制造业,51.73%,信息传输、软件和信息技术服务业,34.85%,净值型,2018-03-16
易方达沪深300非银ETF,512070,ETF-场内,易方达基金,10.87亿,1.9861,1.9952,1.9952,-0.46,0.14,2.84,-4.15,-0.62,-2.73,17.86,33.68,-8.84,金融业,99.19%,制造业,0.04%,净值型,2018-03-16
南方中证申万有色金属ETF,512400,ETF-场内,南方基金,1.27亿,0.9327,0.9473,0.9473,-1.54,3.07,6.76,5.63,-9.25,0.91,0,0,0,制造业,69.14%,采矿业,29.69%,净值型,2018-03-16
南方中证1000ETF,512100,ETF-场内,南方基金,1.01亿,0.8020,0.8038,0.8038,-0.22,1.46,9.57,-3.20,-11.59,-2.24,-16.82,0,0,制造业,61.52%,信息传输、软件和信息技术服务业,9.09%,净值型,2018-03-16
南方中证500信息技术ETF,512330,ETF-场内,南方基金,1.01亿,0.8236,0.8302,0.8302,-0.80,2.17,15.39,-1.26,-2.96,1.52,-1.69,8.75,0,制造业,53.43%,信息传输、软件和信息技术服务业,45.37%,净值型,2018-03-16
南方中证500工业ETF,512310,ETF-场内,南方基金,0.71亿,0.6152,0.6174,0.6174,-0.36,0.70,6.80,-6.03,-15.68,-6.04,-14.43,4.89,0,制造业,59.10%,交通运输、仓储和邮政业,14.26%,净值型,2018-03-16
银华日利A,511880,货币型,银华基金,262.16亿,--,100.9780,117.8590,0,0.08,0.24,0.97,1.95,0.81,3.87,6.55,9.69,,,,,净值型,2018-03-16
景顺长城核心竞争力混合A,260116,混合型,景顺长城基金,19.68亿,3.2656,3.2920,3.4420,-0.80,0.15,2.81,6.78,20.59,3.49,38.67,72.54,50.53,制造业,61.71%,金融业,10.73%,净值型,2018-03-16
华宝中证全指证券ETF,512000,ETF-场内,华宝基金,2.53亿,0.8578,0.8673,0.8673,-1.10,0.35,3.30,-6.82,-17.86,-4.04,-11.81,0,0,金融业,98.80%,制造业,0.13%,净值型,2018-03-16
中融产业升级混合,001701,混合型,中融基金,0.57亿,1.1221,1.1350,1.1350,-1.13,2.25,8.51,-1.13,8.51,-3.24,15.93,0,0,制造业,57.24%,建筑业,9.97%,净值型,2018-03-16
中融量化智选混合A,004212,混合型,中融基金,0.58亿,1.1292,1.1367,1.1367,-0.66,-0.58,2.36,3.45,1.60,2.14,0,0,0,制造业,40.00%,金融业,12.62%,净值型,2018-03-16
招商行业精选股票,000746,股票型,招商基金,5.04亿,1.5873,1.6120,1.6120,-1.53,0.19,-0.12,-2.83,6.26,-4.67,21.11,33.44,17.66,制造业,77.04%,金融业,10.78%,净值型,2018-03-16
招商产业债券A,217022,债券型,招商基金,7.03亿,1.2823,1.2820,1.5220,0.02,0.08,0.71,1.67,1.34,1.58,4.14,7.10,18.58,制造业,0.52%,,,净值型,2018-03-16
招商沪深300地产指数分级,161721,股票指数,招商基金,0.81亿,0.8095,0.8040,1.3900,0.68,-2.78,1.39,6.35,0.11,2.42,5.60,24.04,22.00,房地产业,84.46%,建筑业,5.64%,净值型,2018-03-16
海富通上证可质押城投债ETF,511220,ETF-场内,海富通基金,33.62亿,95.7976,95.7810,1.1380,0.02,0.07,0.50,1.45,1.62,1.30,3.77,4.38,15.03,,,,,净值型,2018-03-16
易方达恒生ETF,510900,QDII-ETF,易方达基金,65.77亿,1.2896,1.2989,1.2989,-0.71,2.83,2.80,6.04,9.80,4.30,14.22,47.62,17.89,,,,,净值型,2018-03-16
国泰上证10年期国债ETF,511260,ETF-场内,国泰基金,0.59亿,99.4833,99.4660,0.9950,0.02,-0.03,0.49,1.16,-1.01,1.03,0,0,0,,,,,净值型,2018-03-16
海富通上证周期产业债ETF,511230,ETF-场内,海富通基金,2.11亿,100.0547,100.0373,1.0404,0.02,0.08,0.27,1.13,1.58,1.12,3.85,0,0,,,,,净值型,2018-03-16
国泰上证5年期国债ETF,511010,ETF-场内,国泰基金,2.49亿,111.0423,111.0230,1.1230,0.02,0.09,0.55,1.08,0.68,0.96,-0.24,0.03,5.49,,,,,净值型,2018-03-16
万家180指数,519180,股票指数,万家基金,16.41亿,0.9425,0.9481,3.2881,-0.59,0.07,1.98,1.59,4.13,0.60,16.23,32.25,11.21,金融业,42.91%,制造业,27.00%,净值型,2018-03-16
华泰柏瑞上证红利ETF,510880,ETF-场内,华泰柏瑞基金,14.24亿,3.0514,3.0703,2.3743,-0.61,-0.43,1.50,4.61,5.77,2.22,16.19,40.18,28.67,金融业,26.09%,制造业,25.97%,净值型,2018-03-16
博时上证50ETF,510710,ETF-场内,博时基金,1.94亿,3.0336,3.0555,0.9446,-0.72,-0.14,0.82,2.81,9.82,1.37,28.53,47.17,0,金融业,60.38%,制造业,19.30%,净值型,2018-03-16
上证金融地产ETF,510650,ETF-场内,华夏基金,0.44亿,1.8417,1.8556,1.8556,-0.75,-0.81,-0.15,2.06,6.05,1.19,24.16,37.46,19.43,金融业,92.46%,房地产业,5.15%,净值型,2018-03-16
易方达中证500ETF,510580,ETF-场内,易方达基金,0.43亿,6.3230,6.3538,0.9791,-0.48,0.65,6.06,-1.91,-6.82,-2.29,-5.48,4.11,0,制造业,58.06%,信息传输、软件和信息技术服务业,8.00%,净值型,2018-03-16
汇添富中证上海国企ETF,510810,ETF-场内,汇添富基金,100.90亿,--,0.9778,1.0078,0,0.30,5.77,0.52,-2.96,0.96,0.72,0,0,金融业,25.59%,制造业,22.94%,净值型,2018-03-16
国寿安保中证500ETF,510560,ETF-场内,国寿安保基金,2.28亿,1.3033,1.3099,0.6065,-0.50,0.80,7.44,-0.70,-5.98,-1.02,-2.70,12.66,0,制造业,58.51%,信息传输、软件和信息技术服务业,8.06%,净值型,2018-03-16
诺安中证500ETF,510520,ETF-场内,诺安基金,1.31亿,1.5812,1.5889,1.5889,-0.48,0.68,6.90,-1.27,-7.03,-1.44,-5.49,7.31,0.78,制造业,57.68%,信息传输、软件和信息技术服务业,8.29%,净值型,2018-03-16
广发中证500ETF,510510,ETF-场内,广发基金,14.35亿,1.7109,1.7196,1.7196,-0.50,0.77,7.45,-0.88,-6.37,-1.12,-3.79,10.99,-3.15,制造业,58.48%,信息传输、软件和信息技术服务业,7.93%,净值型,2018-03-16
中证500沪市ETF,510440,ETF-场内,大成基金,0.41亿,1.7912,1.8010,1.8010,-0.54,0.61,6.51,-1.26,-7.40,-2.28,-5.21,8.95,-6.88,制造业,58.83%,批发和零售业,6.79%,净值型,2018-03-16
景顺长城上证180ETF,510420,ETF-场内,景顺长城基金,0.80亿,1.4891,1.4950,1.4950,-0.39,0.07,3.75,-1.84,-6.56,-1.77,-1.12,13.26,-4.84,制造业,32.40%,金融业,23.48%,净值型,2018-03-16
银华上证50等权ETF,510430,ETF-场内,银华基金,0.89亿,1.5249,1.5370,1.5370,-0.79,-0.19,1.52,1.39,-0.13,0.07,11.14,25.47,3.57,金融业,47.01%,制造业,18.69%,净值型,2018-03-16
上证上海改革发展主题ETF,510820,ETF-场内,汇添富基金,43.68亿,--,0.9369,0.9369,0,0.25,4.47,-1.95,0,-1.25,0,0,0,,,,,净值型,2018-03-16
建信上证50ETF,510800,ETF-场内,建信基金,2.13亿,0.9664,0.9734,0.9734,-0.72,-0.10,1.06,0,0,-2.78,0,0,0,,,,,净值型,2018-03-16
华夏沪深300ETF,510330,ETF-场内,华夏基金,186.98亿,4.3902,4.4300,1.8461,-0.90,0.44,3.20,2.77,6.45,1.53,20.00,38.93,21.76,制造业,38.89%,金融业,33.13%,净值型,2018-03-16
南方上证380ETF,510290,ETF-场内,南方基金,2.29亿,1.5873,1.5965,1.5965,-0.57,0.78,7.21,-0.01,-3.10,-0.77,-0.81,15.74,3.33,制造业,61.74%,批发和零售业,7.12%,净值型,2018-03-16
平安大华沪深300ETF,510390,ETF-场内,平安大华基金,58.68亿,4.0565,4.0942,0.9798,-0.92,0.44,3.25,0,0,-2.11,0,0,0,,,,,净值型,2018-03-16
